date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-08-19,3039606.344622397,2862899.412963488,3047689.4312134916,3188715.5162134953
2025-08-20,2995483.7436999963,2855784.5099910926,2993315.91179109,3146147.6582410913
2025-08-21,3085146.372464382,2907004.2101554736,3087567.994055477,3236786.8836554787
2025-08-22,3057169.5967452032,2896384.0560863004,3068024.502336297,3207833.5112862983
2025-08-23,2996675.1538304817,2855859.2796215788,3012814.2554215738,3139660.448671577
2025-08-24,3112829.073126574,2977527.1539676697,3108910.075467664,3248620.6744676703
2025-08-25,3107923.34671438,2989710.973005472,3115263.0230554757,3266416.942955475
2025-08-26,3096445.7370367106,2965147.3907278073,3125573.1466278066,3247409.8229778055
2025-08-27,3079617.3586010947,2948712.1920421915,3075383.3284421894,3236634.61239219
2025-08-28,3081449.9314424656,2941557.543183562,3070992.289033563,3212139.978333565
2025-08-29,3088318.763890273,2948722.139731369,3100518.449481369,3219579.051881369
2025-08-30,3074052.380462878,2946006.7550039715,3078231.659303974,3211273.1766539747
2025-08-31,3092020.7059086957,2966688.959799791,3095182.4967497927,3260532.063399787
2025-09-01,3093397.7654158934,2961082.5250069904,3109500.1892569866,3244361.8513569883
2025-09-02,3082333.7080962355,2924546.260887332,3068506.27068733,3212316.4344373266
2025-09-03,3074515.8496739757,2869693.078015078,3070596.8520150655,3211809.9787650756
2025-09-04,3098004.432902808,2951740.6564939064,3088788.9144939017,3248908.290743903
2025-09-05,3104291.1181043866,2921856.0152954804,3105972.570445479,3237453.794845482
2025-09-06,3117371.652184521,2980101.5401756135,3108192.0375256166,3236759.6815756126
2025-09-07,3047462.345178078,2888407.851019171,3052920.021269173,3178847.8240691745
2025-09-08,2999615.4908124637,2834644.1385535575,3027387.18290356,3167455.918203564
2025-09-09,3045647.9550684905,2892190.7008595862,3042371.485909585,3194223.914909588
2025-09-10,3001397.14108356,2823249.793624652,2998300.2974246526,3139456.4983246597
2025-09-11,3071736.043906024,2923387.3318471215,3080882.924497119,3214721.3387471195
